id_Produto,Produto
68,Fonte ATX Rop  Dazz 900w Real 80 Plus Bronze Pfc Ativo
69,"Fonte Aerocool 500W Chaveada VX-500, Bivolt, Sem Cabo de Força, EN57136"
70,"Fonte Aerocool 550W, 80 Plus Gold, PFC Ativo, ATX Dorado"
71,"Fonte Aerocool 650W, 80 Plus Gold, PFC Ativo, Dorado"
72,"Fonte Aerocool ATX Cylon, 500W, 80 Plus Bronze, PFC Ativo, LED"
73,"Fonte Aerocool ATX VX-350, 350W, PFC Ativo, Bivolt, Sem Cabo, EN57181"
74,"Fonte Aerocool ATX, 600W, 80 Plus Bronze, Bivolt, FAN 120mm, Sem Cabo, KCAS"
75,"Fonte Aerocool Gamer, 400W, 80 Plus, PFC Ativo, White Full Range, KCAS"
76,"Fonte Aerocool Gamer, 500W, 80 Plus Bronze, PFC Ativo, Full Range, KCAS"
77,"Fonte Aerocool KCAS, 500W, 80 Plus Bronze - EN53367"
78,"Fonte Aerocool KCAS, 500W, 80 Plus Bronze, PFC Ativo, 115-230V - EN53367"
79,"Fonte Aerocool KCAS, 600W, 80 Plus Bronze - KCAS-600W"
80,"Fonte Aerocool VX-350, 350W, Bivolt - EN57181"
81,"Fonte Aerocool VX-350, 350W, Bivolt, EN57181"
82,"Fonte Aerocool VX-500, 500W, Bivolt  - EN57136"
83,"Fonte Aerocool VX-500, 500W, Bivolt, ATX, Preto, EN57136"
84,"Fonte Almeida Chaveada, 12V, 5A, Tipo Colméia, Ideal Para CFTV, AL-1705G"
85,"Fonte Almeida Gradeada, 24V, Bivolt, 20A"
86,"Fonte Apexgaming Power Supply, 650W, 80 Plus Gold - STG-650"
87,"Fonte Apexgaming Power Supply, 650W, 80 Plus Gold, Modular - AG-650M"
88,"Fonte Apexgaming Power Supply, 750W, 80 Plus Gold, Modular - AG-750M"
89,"Fonte Apexgaming Power Supply, 850W, 80 Plus Gold, Modular - AG-850M"
90,"Fonte Asus ROG Loki SFX-L, 750W, 80 Plus Platinum, ARGB, Bivolt, Preto - 90YE00N4-B0BA00"
91,"Fonte Asus ROG Loki SFX-L, 850W, 80 Plus Platinum, ARGB, Bivolt, Preto - 90YE00N3-B0BA00"
92,"Fonte Asus ROG Strix Aura Edition, 1000W, 80 Plus Gold, ARGB, Bivolt, Preto - 90YE00P1-B0BA00"
93,"Fonte Asus ROG Strix Aura Edition, 750W, 80 Plus Gold, ARGB, Bivolt, Preto - 90YE00P3-B0BA00"
94,"Fonte Asus ROG THOR 1200P2, 1200W, 80 Plus Platinum, PCIe 5.0, Display LED, Aura Sync - 90YE00L0-B0BA00"
95,"Fonte Asus ROG Thor 1600T, 1600W, 80 Plus Titanium, PCIe 5.0, Display LED, Aura Sync - 90YE00K0-B0BA00"
96,"Fonte Asus ROG-STRIX-750G, 750W, 80 Plus Gold, Full Modular - 90YE00A0-B0BA00"
97,"Fonte Asus ROG-STRIX-850G, 850W, 80 Plus Gold, Full Modular - 90YE00A3-B0BA00"
98,"Fonte Asus Rog Loki SFX-L, 1000W, 80 Plus Platinum, ARGB, Bivolt, Preto - 90YE00N1-B0BA00"
99,"Fonte Asus Rog Strix Aura Edition, 850W, 80 Plus Gold, ARGB, Bivolt, Preto - 90YE00P2-B0BA00"
100,"Fonte Asus TUF-GAMING-550B, 550W, 80 Plus Bronze - 90YE00D2-B0BA00"
101,"Fonte Asus TUF-GAMING-650B, 650W, 80 Plus Bronze - 90YE00D1-B0BA00"
102,"Fonte Asus TUF-GAMING-750B, 750W, 80 Plus Bronze - 90YE00D0-B0BA00"
103,"Fonte Asus Tuf Gaming, 1000W, 80 Plus Gold, Bivolt, Preto - 90YE00S1-B0BA00"
104,"Fonte Asus Tuf Gaming, 750W, 80 Plus Gold, Bivolt, Preto - 90YE00S3-B0BA00"
105,"Fonte Asus Tuf Gaming, 850W, 80 Plus Gold, Bivolt, Preto - 90YE00S2-B0BA00"
106,"Fonte Asustor Storage, 350W, Para Servidor, AS-350W"
107,"Fonte Asustor Storage, 65W, 80 Plus, Para Servidor, AS-65W"
108,"Fonte Asustor, 65W, Para NAS, AS-65W"
109,"Fonte Asustor, 90W, Para NAS, AS-90W"
110,Fonte Atx 200w Real HL-200
111,Fonte Atx 230w Real Hoopson Com Cabo Box
112,Fonte Atx 500w Mtek Mk 500wf
113,"Fonte Atx 500w Real Bpc/5350-m, 24 Pinos, Com Cabo Box"
114,Fonte Atx Bluecase 350w Pfc Ativo C/ Caixa - BLU350-EPFC
115,"Fonte Atx Corsair Rm1000e,80 Plus Gold, 1000 Watts - cp-9020264-na"
116,"Fonte Atx Duex 500fse++, 500w, 80 Plus Bronze, Pfc Ativo, Full Modular, Dx500fse, Cor:preto, tamanho:único, gênero:unisse"
117,"Fonte Atx Fortrek Crusader, 500w, Bivolt Manual, Cooler 120mm, Preto"
118,Fonte Atx Gamer 1000w Deepcool 80 Plus Gold Dq1000m - V3l Full Modular Sem Cabo De Forca - Preto
119,Fonte Atx Gamer 750w Deepcool 80 Plus Gold Dq750m - V3l Full Modular Sem Cabo De Forca - Preto
120,Fonte Atx Gamer 850w Deepcool 80 Plus Gold Dq850m - V3l Full Modular Sem Cabo De Forca - Preto
121,"Fonte Atx, Redragon, Rgps-750w, 80 Plus Gold, 750w, Full Modular - Gc-ps009"
122,"Fonte Automática Brx ATX, 650w, Preto/amarelo"
123,"Fonte BR One BRX Rainbow, 1000W, 80 Plus Bronze - RB1000P"
124,"Fonte BR One BRX Rainbow, 550W, 80 Plus Bronze - RB550P"
125,"Fonte BR One BRX, 800W - UP-S800ACTIVE"
126,"Fonte BR One, 650W, Bivolt, Com Cabo, Preta, B-S650W"
127,"Fonte BRX ATX, 1000w, Modular"
128,"Fonte BRX ATX, 600W Modular"
129,"Fonte BRX ATX, 600W, 80 Plus Bronze, Rainbow RGB, Automática"
130,"Fonte BRX ATX, 700W, 80 Plus Bronze, Rainbow RGB, Automática"
131,"Fonte BRX ATX, 700W, 80 Plus, RGB, Automática"
132,"Fonte BRX ATX, 750W, Rainbow RGB, BRX 80 Plus Bronze, Automática"
133,"Fonte BRX ATX, 800W, 80 Plus Bronze, Rainbow RGB, Automática"
134,"Fonte BRX Rainbow Series, 850W, 80 Plus Bronze, PFC Ativo, Bivolt, RGB, Com Cabo"
135,"Fonte BRX Rainbow, 650W, 80 Plus, PFC Ativo, Bivolt, RGB, RGB-650W"
136,"Fonte BRX Rainbow, 80 Plus, 550W, Bivolt, RGB"
137,"Fonte BRX Rainbow, ATX, 350W, 80 Plus, Automática PFC"
138,"Fonte BRX Rainbow, ATX, 400W, 80 Plus, Automática PFC"
139,"Fonte BRX Rainbow, ATX, 500W, 80 Plus, Automática PFC"
140,"Fonte BRX TFX, 400W"
141,"Fonte BRX TFX, 500W"
142,"Fonte BRX TFX, 600W"
143,"Fonte BRX TFX, 700W"
144,"Fonte BRX, 1000W, 80 Plus Bronze, RGB, Bivolt"
145,"Fonte BRX, 400W, ATX, Automática PFC"
146,"Fonte BRX, 450W, ATX, Automática PFC"
147,"Fonte BRX, 550W, Bivolt, B-S550W"
148,"Fonte BRX, ATX, 500W, Automática PFC"
149,"Fonte BRX, ATX, 500W, Modular"
150,"Fonte BRX, ATX, 700W Modular"
151,"Fonte BRX, TFX, 800W"
152,Fonte BlueCase ATX 350W PFC c/ Cabo - BLU350PFC
153,"Fonte BlueCase ATX, 350W, PFC, BLU350PFC"
154,"Fonte Bluecase 400W, 80 Plus White,  PFC Ativo, com Cabo - BLU400R-80E"
155,Fonte Bluecase 500W com Cabo e com Caixa - BLU500PFC
156,"Fonte Bluecase ATX, 230W, Com Cabo, BLU230-E"
157,"Fonte Bluecase ATX, 400W, 80 Plus Bronze, PFC Ativo, OEM, BLU400R-82E"
158,"Fonte Bluecase ATX, 500W, 80 Plus Bronze, PFC Ativo, Com Ventilador, BLU500R-B"
159,"Fonte Bluecase ATX, 500W, Bivolt Manual, BLU500-E"
160,"Fonte Bluecase ATX, 500W, Bivolt, Com Cabo, BLU500-E"
161,"Fonte Bluecase BLU230-EATX Small, 230W, com Cabo - BLU230ESCASE"
162,"Fonte Bluecase BLU350-E V2, 350W, Bivolt Manual, com Cabo - BLU350EV2BX"
163,"Fonte Bluecase BLU500-EPFC, 500W, PFC Ativo, Bivolt, com Cabo, Preto - BLU500-EPFCBX"
164,"Fonte Bluecase Blu 350-E ATX, 350W, com Cabo - BLU350ECASE"
165,"Fonte Bluecase Blu 500-E ATX, 500W, com Cabo - BLU500ECASE"
166,"Fonte Bluecase Blu350-Epfc, 350W, Para Pc/Desktop, Bivolt, Com Cabo, Preto"
167,"Fonte Bluecase Ez8898b-600, 600w Pfc Ativo, Eficiência 82%, 80 Plus, Bronze, C/ Cabo De Força"
168,"Fonte Bluecase, 400W, 80 Plus White, PFC Ativo, BLU 400R-80E"
169,"Fonte Brazil PC 1.2, 230W Real, 24 Pinos, BPC-230V"
170,Fonte Brazil PC 500W 80 Plus Bronze BPC/500 - 38040
171,Fonte Brazil PC 500W BPC/500PFCA - 38039
172,Fonte Brazil PC 500W BPC/5330 - 38036
173,Fonte Brazil PC 600W BPC/6350 - 38037
174,Fonte Brazil PC 750W BPC/7400 - 38038
175,"Fonte Brazil PC ATX 800W, Real Pro Full Modular, 80plus, Bronze - Ps/Fm800brz80"
176,"Fonte Brazil PC ATX, 500W Real, 24 Pinos, Bivolt, Com Cabo - Bpc/5330"
177,"Fonte Brazil PC ATX, 500W Real, Pfc Ativo, 24 Pinos, Bivolt, Com Cabo - Bpc/5330"
178,"Fonte Brazil PC Bpc-230, ATX 230W Real, 24 Pinos"
179,"Fonte Brazil PC Bpc-230, ATX 230W Real, 24 Pinos - OEM"
180,"Fonte Brazil PC Bpc/6350-B, Atx 600W Real, 24 Pinos Box"
181,"Fonte Brazil PC Gamer ATX, 500W, 80 Plus Bronze, PFC Ativo - BPC/500"
182,"Fonte Brazil PC Gamer, 600W Real, 24 Pinos, BPC/6350-B"
183,"Fonte Brazil PC Gamer, 750W Real, BPC/7400-B"
184,"Fonte Brazil Pc ATX 500W Real, 24 Pinos, Com Cabo, Box - Bpc/5330-B"
185,Fonte Brazil Pc Atx 500w Bpc/5350-m 24 Pinos Com Cabo
186,"Fonte Brazilpc 500W Real, 80plus Bronze, 24 Pinos, ATX"
187,"Fonte Brazilpc ATX 400W Real, Bpc-s427v1.0, 24 Pinos, OEM"
188,Fonte Brazilpc Atx 500w Brazilpc Bpc/5350-m 24 Pinos Box
189,"Fonte Brazilpc Bpc-c325e, ATX 350W Real, 24, Pinos - OEM"
190,"Fonte Brazilpc Bpc/500pfca, Atx 500w, Real Apfc, 24 Pinos Box"
191,"Fonte Bright TFX 600W, Bivolt, Preto - FT006"
192,"Fonte Bright TFX 750W, Bivolt, Prata - FT007"
193,"Fonte Bright, 1000W, Modular, Bivolt, Preto e Amarelo - FT005"
194,"Fonte Bright, 550W, Bivolt, Preto e Amarelo - FT001"
195,"Fonte Bright, 650W, 80 Plus Bronze, RGB, Bivolt, Preto - FT003"
196,"Fonte Bright, 650W, Bivolt, Preto e Amarelo - FT002"
197,"Fonte Bright, 750W, 80 Plus Bronze, RGB, Bivolt, Preto - FT004"
198,"Fonte Brx Automatica, 750w, Amarela"
199,"Fonte Brx, Atx 550w, Automatica Pfc - B-sa550w"
200,"Fonte C3 Tech SFX Sem Cabo, 200W, 110V/220V, Branco - PS-201SFX"
201,"Fonte C3Tech ATX, 200W, Sem Cabo, PS-200V3"
202,"Fonte C3Tech ATX, 200W, Sem Cabo, PS-200V4"
203,"Fonte C3Tech ATX, 350W Real, Bivolt, Manual, PS-350"
204,"Fonte C3Tech ATX, 700W, 80 Plus White, PS-G700M"
205,"Fonte C3Tech Gamer ATX, 600W, 80 Plus Bronze, PFC Ativo, Bivolt Automático, PS-G600B"
206,"Fonte C3Tech PS-200V4, 200W, ATX, Bivolt, Prata - PS-200V4"
207,"Fonte C3Tech PS-500BK, 500W - PS-500BK"
208,"Fonte C3Tech, 200W Real, Bivolt Manual, PS-200V4"
209,"Fonte C3Tech, 200W, 115V/230V, PS-200V4"
210,"Fonte C3Tech, 200W, Bivolt - PS-200V4"
211,"Fonte C3Tech, 500W, 80 Plus Bronze, Com PFC, PS-G500B"
212,"Fonte C3Tech, 500W, PS-500BK"
213,"Fonte C3tech Ps-201, 200w, ATX, Bivolt Manual - OEM"
214,"Fonte C3tech Ps-G600m, 600W, ATX, 80 Plus White, PFC Ativo, Bivolt Automático, Preta"
215,"Fonte C3tech Ps-g500, ATX, 500w, 80 Plus White Preto"
216,"Fonte Casemall, 500W, Auto Switch, ALL500TTPSW4"
217,"Fonte Casemall, 600W, Auto Switch, ALL600TTPSW"
218,"Fonte Chinamate ATX, 200W, Bivolt, CM200"
219,"Fonte Concórdia 500W Real, 80 Plus Bronze, Automática Com PFC Ativo."
220,"Fonte Cooler Master ATX MWE 650 White V2, 650W, Com Cabo, Para PC, MPE-6501-ACAAW-BR"
221,"Fonte Cooler Master ATX, 800W Real, 80 Plus Gold, MPW-8001-ACAAG-WO"
222,"Fonte Cooler Master Elite 300 V3, 300W, PFC Ativo, Bivolt, Sem Cabo, Silenciosa, MPW-3001-ACAAN1-WO"
223,"Fonte Cooler Master Elite 400 V3, 400W, PFC Ativo, Bivolt, Sem Cabo, Silenciosa, MPW-4001-ACAAN1-WO"
224,Fonte Cooler Master Elite Nex - 600w
225,Fonte Cooler Master Elite Nex - 700w
226,"Fonte Cooler Master Elite V3, 300W, PFC Ativo - MPW-3001-ACAAN1"
227,"Fonte Cooler Master G500, 500W, 80 Plus Gold"
228,"Fonte Cooler Master G700, 700W, 80 Plus Gold, Com Cabo, PFC Ativo, Bivolt, Preto - MPW-7001-ACAAG-BR"
229,"Fonte Cooler Master G700, 700W, 80 Plus Gold, PFC Ativo, MPW-7001-ACAAG-WO"
230,"Fonte Cooler Master G800, 800W, 80 Plus Gold, Com Cabo, PFC Ativo, Bivolt, Preto - MPW-8001-ACAAG-BR"
231,"Fonte Cooler Master G800, 800W, 80 Plus Gold, PFC Ativo, Sem Cabo, MPW-8001-ACAAG-WO"
232,"Fonte Cooler Master MWE 750 White V2, 750W, 80 Plus Standard - MPE-7501-ACAAW"
233,"Fonte Cooler Master MWE Bronze 600, 600W, 80 Plus Bronze, PFC Ativo, Bivolt, Preto - MPX-6001-ACAAB-US"
234,"Fonte Cooler Master MWE Bronze V2 Full Range, 550W, 80 Plus Bronze, Não Modular, PFC Ativo, Bivolt, Preto - MPE-5501-ACAAW-BBR"
235,"Fonte Cooler Master MWE Bronze V2 Full Range, 650W, 80 Plus Bronze, Não Modular, PFC Ativo, Bivolt, Preto - MPE-6501-ACAAW-BBR"
236,"Fonte Cooler Master MWE Bronze V2 Full Range, 750W, 80 Plus Bronze, Não Modular, PFC Ativo, Bivolt, Preto - MPE-7501-ACAAW-BBR"
237,"Fonte Cooler Master MWE Bronze, 750W, 80 Plus Bronze - MPE-7501-ACAAB-BR"
238,"Fonte Cooler Master MWE Gold V2, 750W, 80 Plus Gold, Full Modular, PFC Ativo, Bivolt, Preto - MPE-7501-AFAAG-WO"
239,"Fonte Cooler Master MWE Gold V2, 850W, 80 Plus Gold, Full Modular, PFC Ativo, Bivolt, Preto - MPE-8501-AFAAG-WO"
240,"Fonte Cooler Master MWE V2, 1250W, 80 Plus Gold, Modular, PSU, MPE-C501-AFCAG-WO"
241,"Fonte Cooler Master MWE V2, 650W, 80 Plus Bronze, MPE-6501-ACAAB-WO"
242,"Fonte Cooler Master MWE V2, 750W, 80 Plus Bronze, MPE-7501-ACAAB-WO"
243,"Fonte Cooler Master MWE V2, 850W, 80 Plus Gold - MPE-8501-ACAAG-WO"
244,"Fonte Cooler Master MWE, 450W, 80 Plus White, PFC Ativo, Com Cabo Padrão Brasileiro, MPE-4501-ACAAW-BR"
245,"Fonte Cooler Master MWE, 550W, 80 Plus White, PFC Ativo, Com Cabo, Padrão Brasileiro, MPE-5501-ACAAW-BR"
246,"Fonte Cooler Master MasterWatt 650 TUF Gaming Edition, 650W, 80 Plus Bronze, Semi Modular - MPX-6501-AMAAB-OF"
247,"Fonte Cooler Master Mwe 650w 80 Plus, Bronze V2 Pfc, Ativo"
248,"Fonte Cooler Master Mwe, 750w, 80 Plus Bronze-mpe-7501-acaabbr"
249,"Fonte Cooler Master Nex White 500, 80 Plus, White - 500w"
250,"Fonte Cooler Master Nex White 600, 80 Plus, White - 600w"
